,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_4HA-H5,gb|CY111533.1|,1695,1732,94.861,1693,87,0,1,1693,14,1706,0.0,2645
1,21-02023-01_4HA-H5,gb|CY096744.1|,1695,1509,93.439,1509,99,0,184,1692,1,1509,0.0,2239
2,21-02023-01_4HA-H5,gb|CY096732.1|,1695,1453,94.15,1453,85,0,240,1692,1,1453,0.0,2213
3,21-02023-01_4HA-H5,gb|CY096734.1|,1695,1437,94.154,1437,84,0,250,1686,1,1437,0.0,2189
4,21-02023-01_4HA-H5,gb|CY096731.1|,1695,1430,94.262,1429,82,0,257,1685,2,1430,0.0,2185
5,21-02023-01_4HA-H5,gb|CY096730.1|,1695,1430,94.19200000000001,1429,83,0,257,1685,2,1430,0.0,2180
6,21-02023-01_4HA-H5,gb|CY096742.1|,1695,1432,93.58,1433,91,1,252,1684,1,1432,0.0,2135
7,21-02023-01_4HA-H5,gb|CY096729.1|,1695,1427,92.292,1427,110,0,254,1680,1,1427,0.0,2026
8,21-02023-01_4HA-H5,gb|CY096743.1|,1695,1461,90.766,1462,134,1,227,1688,1,1461,0.0,1951
9,21-02023-01_4HA-H5,gb|MH127538.1|,1695,1734,86.431,1695,230,0,1,1695,14,1708,0.0,1857
