,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_3PA,gb|MK213327.1|,2151,2205,97.583,2151,52,0,1,2151,15,2165,0.0,3685
1,21-02023-01_3PA,gb|CY025202.1|,2151,2192,95.86200000000001,2151,89,0,1,2151,6,2156,0.0,3480
2,21-02023-01_3PA,gb|CY029886.1|,2151,2190,95.86200000000001,2151,89,0,1,2151,6,2156,0.0,3480
3,21-02023-01_3PA,gb|CY077438.1|,2151,2199,94.7,2151,114,0,1,2151,1,2151,0.0,3341
4,21-02023-01_3PA,gb|CY061615.1|,2151,2190,94.32799999999999,2151,122,0,1,2151,6,2156,0.0,3297
5,21-02023-01_3PA,gb|HM006750.1|,2151,2233,94.189,2151,125,0,1,2151,25,2175,0.0,3280
6,21-02023-01_3PA,gb|CY033166.1|,2151,2193,93.72399999999999,2151,135,0,1,2151,7,2157,0.0,3227
7,21-02023-01_3PA,gb|MW243406.1|,2151,2148,93.62200000000001,2148,137,0,1,2148,1,2148,0.0,3208
8,21-02023-01_3PA,gb|MW243413.1|,2151,2148,93.575,2148,138,0,1,2148,1,2148,0.0,3203
9,21-02023-01_3PA,gb|MW243419.1|,2151,2148,93.575,2148,138,0,1,2148,1,2148,0.0,3203
