,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_2PB1,gb|KY320438.1|,2274,2308,92.964,2274,160,0,1,2274,10,2283,0.0,3315
1,21-02023-01_2PB1,gb|CY025203.1|,2274,2309,92.96700000000001,2275,158,2,1,2274,11,2284,0.0,3314
2,21-02023-01_2PB1,gb|CY029887.1|,2274,2309,92.92299999999999,2275,159,2,1,2274,11,2284,0.0,3308
3,21-02023-01_2PB1,gb|MH453837.1|,2274,2321,92.74700000000001,2275,163,2,1,2274,16,2289,0.0,3286
4,21-02023-01_2PB1,gb|CY111531.1|,2274,2272,92.602,2271,166,2,1,2270,2,2271,0.0,3262
5,21-02023-01_2PB1,gb|MW243517.1|,2274,2271,92.514,2271,168,2,1,2270,1,2270,0.0,3251
6,21-02023-01_2PB1,gb|MW243532.1|,2274,2271,92.47,2271,169,2,1,2270,1,2270,0.0,3245
7,21-02023-01_2PB1,gb|MH453827.1|,2274,2332,92.396,2275,171,2,1,2274,23,2296,0.0,3241
8,21-02023-01_2PB1,gb|MW243501.1|,2274,2271,92.426,2271,170,2,1,2270,1,2270,0.0,3240
9,21-02023-01_2PB1,gb|MW243509.1|,2274,2271,92.426,2271,170,2,1,2270,1,2270,0.0,3240
