,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_5NP,gb|MN826602.1|,1497,1550,99.198,1497,12,0,1,1497,42,1538,0.0,2699
1,21-02023-01_5NP,gb|MH453816.1|,1497,1562,97.52799999999999,1497,37,0,1,1497,45,1541,0.0,2560
2,21-02023-01_5NP,gb|MH453824.1|,1497,1562,97.52799999999999,1497,37,0,1,1497,45,1541,0.0,2560
3,21-02023-01_5NP,gb|MW243429.1|,1497,1494,97.523,1494,37,0,1,1494,1,1494,0.0,2555
4,21-02023-01_5NP,gb|MW243444.1|,1497,1494,97.523,1494,37,0,1,1494,1,1494,0.0,2555
5,21-02023-01_5NP,gb|MW243481.1|,1497,1494,97.523,1494,37,0,1,1494,1,1494,0.0,2555
6,21-02023-01_5NP,gb|MW243487.1|,1497,1494,97.523,1494,37,0,1,1494,1,1494,0.0,2555
7,21-02023-01_5NP,gb|MW243452.1|,1497,1494,97.522,1493,37,0,1,1493,1,1493,0.0,2553
8,21-02023-01_5NP,gb|MW243436.1|,1497,1494,97.456,1494,38,0,1,1494,1,1494,0.0,2549
9,21-02023-01_5NP,gb|MW243459.1|,1497,1494,97.455,1493,38,0,1,1493,1,1493,0.0,2547
