,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_8NS,gb|MH453817.1|,838,882,98.21,838,15,0,1,838,26,863,0.0,1465
1,21-02023-01_8NS,gb|MH453825.1|,838,882,98.21,838,15,0,1,838,26,863,0.0,1465
2,21-02023-01_8NS,gb|MW243447.1|,838,835,98.204,835,15,0,1,835,1,835,0.0,1459
3,21-02023-01_8NS,gb|MW243455.1|,838,835,98.204,835,15,0,1,835,1,835,0.0,1459
4,21-02023-01_8NS,gb|MW243462.1|,838,835,98.204,835,15,0,1,835,1,835,0.0,1459
5,21-02023-01_8NS,gb|MW243476.1|,838,835,98.204,835,15,0,1,835,1,835,0.0,1459
6,21-02023-01_8NS,gb|MW243484.1|,838,835,98.204,835,15,0,1,835,1,835,0.0,1459
7,21-02023-01_8NS,gb|MW243490.1|,838,835,98.204,835,15,0,1,835,1,835,0.0,1459
8,21-02023-01_8NS,gb|MW243424.1|,838,835,98.20100000000001,834,15,0,1,834,1,834,0.0,1458
9,21-02023-01_8NS,gb|MW243411.1|,838,835,98.197,832,15,0,1,832,1,832,0.0,1454
