,qseqid,sseqid,qlen,slen,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
0,21-02023-01_6NA-N3,gb|MH453830.1|,1410,1425,95.177,1410,68,0,1,1410,7,1416,0.0,2230.0
1,21-02023-01_6NA-N3,gb|CY111535.1|,1410,1282,94.774,1282,67,0,71,1352,1,1282,0.0,1997.0
2,21-02023-01_6NA-N3,gb|KY320422.1|,1410,1422,90.355,1410,136,0,1,1410,1,1410,0.0,1853.0
3,21-02023-01_6NA-N3,gb|CY022687.1|,1410,1413,88.244,1412,162,4,1,1410,1,1410,0.0,1685.0
4,21-02023-01_6NA-N3,gb|GU053074.1|,1410,1427,88.244,1412,162,4,1,1410,7,1416,0.0,1685.0
5,21-02023-01_6NA-N3,gb|CY025079.1|,1410,1431,88.014,1410,169,0,1,1410,19,1428,0.0,1668.0
6,21-02023-01_6NA-N3,gb|GU053081.1|,1410,1427,88.014,1410,169,0,1,1410,7,1416,0.0,1668.0
7,21-02023-01_6NA-N3,gb|CY045257.1|,1410,1414,87.25200000000001,1412,176,4,1,1410,1,1410,0.0,1609.0
8,21-02023-01_6NA-N3,gb|K01014.1|,1410,180,88.535,157,15,3,1,155,19,174,1.34e-46,187.0
9,21-02023-01_6NA-N3,gb|MH127539.1|,1410,1416,100.0,32,0,0,1,32,8,39,3.0499999999999995e-08,60.2
